probe,symbol,locus.link,fold.change,EntrezGene.ID,probe.name,Alignment.score,Length.of.probe,NCBI.gene.symbol,HUGO.gene.symbol,Cytoband,Alternative.symbols,Description
202626_s_at,LYN,4067,0.345506,4067,202626_s_at,11,11,LYN,LYN,8q13,FLJ26625|JTK8,v-yes-1 Yamaguchi sarcoma viral related oncogene homolog
228846_at,MAD,4084,4.932349,4084,228846_at,11,11,MXD1,MXD1,2p13-p12,MAD|MAD1|MGC104659,MAX dimerization protein 1
226275_at,MAD,4084,3.633048,4084,226275_at,11,11,MXD1,MXD1,2p13-p12,MAD|MAD1|MGC104659,MAX dimerization protein 1
223217_s_at,MAIL,64332,2.82099,64332,223217_s_at,11,11,NFKBIZ,NFKBIZ,3p12-q12,FLJ30225|FLJ34463|IKBZ|INAP|MAIL,"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, zeta"
208786_s_at,MAP1LC3B,81631,3.520961,81631,208786_s_at,11,11,MAP1LC3B,MAP1LC3B,16q24.2,MAP1A/1BLC3,microtubule-associated protein 1 light chain 3 beta
232138_at,MBNL2,10150,0.205083,NA,NA,NA,NA,NA,NA,NA,NA,NA
200797_s_at,MCL1,4170,3.251088,4170,200797_s_at,11,11,MCL1,MCL1,1q21,EAT|MCL1L|MCL1S|MGC104264|MGC1839|TM,myeloid cell leukemia sequence 1 (BCL2-related)
235374_at,MDH1,4190,0.483248,NA,NA,NA,NA,NA,NA,NA,NA,NA
235077_at,MEG3,55384,10.53187,NA,NA,NA,NA,NA,NA,NA,NA,NA
203417_at,MFAP2,4237,3.966412,4237,203417_at,11,11,MFAP2,MFAP2,1p36.1-p35,MAGP|MAGP-1|MAGP1,microfibrillar-associated protein 2
224480_s_at,MGC11324,84803,2.993218,84803,224480_s_at,11,11,MAG1,NA,4q21.23,MGC11324,lung cancer metastasis-associated protein
215239_x_at,MGC12518,90816,0.568582,10793,215239_x_at,9,11,ZNF273,ZNF273,7q11.21,HZF9|MGC12518,zinc finger protein 273
238741_at,MGC14128,84985,6.347698,84985,238741_at,1,11,FAM83A,FAM83A,8q24.13,BJ-TSA-9|MGC14128,"family with sequence similarity 83, member A"
229518_at,MGC16491,115572,0.192134,115572,229518_at,11,11,FAM46B,FAM46B,1p36.11,MGC16491|MGC20845|RP11-344H11.8,"family with sequence similarity 46, member B"
220949_s_at,MGC5242,78996,0.492849,78996,220949_s_at,11,11,C7orf49,C7orf49,7q33,FLJ22450|FLJ27285|MGC5242,chromosome 7 open reading frame 49
203636_at,MID1,4281,0.449117,NA,NA,NA,NA,NA,NA,NA,NA,NA
1557158_s_at,MLL3,58508,0.420551,58508,1557158_s_at,11,11,MLL3,MLL3,7q36.1,DKFZp686C08112|FLJ12625|FLJ38309|HALR|KIAA1506|MGC119851|MGC119852|MGC119853,myeloid/lymphoid or mixed-lineage leukemia 3
217279_x_at,MMP14,4323,6.491883,4323,217279_x_at,8,11,MMP14,MMP14,14q11-q12,MMP-X1|MT1-MMP|MTMMP1,matrix metallopeptidase 14 (membrane-inserted)
202828_s_at,MMP14,4323,8.973361,4323,202828_s_at,11,11,MMP14,MMP14,14q11-q12,MMP-X1|MT1-MMP|MTMMP1,matrix metallopeptidase 14 (membrane-inserted)
160020_at,MMP14,4323,7.364434,4323,160020_at,16,16,MMP14,MMP14,14q11-q12,MMP-X1|MT1-MMP|MTMMP1,matrix metallopeptidase 14 (membrane-inserted)
1553293_at,MRGX3,117195,2.495959,117195,1553293_at,11,11,MRGPRX3,MRGPRX3,11p15.1,GPCR|MRGX3|SNSR1,"MAS-related GPR, member X3"
228527_s_at,MSCP,51312,10.11739,NA,NA,NA,NA,NA,NA,NA,NA,NA
212096_s_at,MTSG1,57509,0.331331,57509,212096_s_at,11,11,MTUS1,MTUS1,8p22,ATIP|DKFZp586D1519|DKFZp686F20243|FLJ14295|KIAA1288|MP44|MTSG1,mitochondrial tumor suppressor 1
209124_at,MYD88,4615,2.639961,4615,209124_at,11,11,MYD88,MYD88,3p22,NA,myeloid differentiation primary response gene (88)
204823_at,NAV3,89795,21.14425,89795,204823_at,11,11,NAV3,NAV3,NA,KIAA0938|POMFIL1|STEERIN3|unc53H3,neuron navigator 3
200632_s_at,NDRG1,10397,4.209548,10397,200632_s_at,11,11,NDRG1,NDRG1,8q24.3,CAP43|CMT4D|DRG1|GC4|HMSNL|NDR1|NMSL|PROXY1|RIT42|RTP|TARG1|TDD5,N-myc downstream regulated gene 1
211467_s_at,NFIB,4781,0.330609,4781,211467_s_at,11,11,NFIB,NFIB,9p24.1,NFI-RED|NFIB2|NFIB3,nuclear factor I/B
205895_s_at,NOLC1,9221,1.694188,9221,205895_s_at,11,11,NOLC1,NOLC1,10q24.32,KIAA0035|NOPP130|NOPP140|NS5ATP13|P130,nucleolar and coiled-body phosphoprotein 1
1553995_a_at,NT5E,4907,4.854478,4907,1553995_a_at,11,11,NT5E,NT5E,6q14-q21,CD73|E5NT|NT|NT5|NTE|eN|eNT,"5'-nucleotidase, ecto (CD73)"
203939_at,NT5E,4907,5.392405,4907,203939_at,11,11,NT5E,NT5E,6q14-q21,CD73|E5NT|NT|NT5|NTE|eN|eNT,"5'-nucleotidase, ecto (CD73)"
206376_at,NTT73,55117,2.763422,55117,206376_at,11,11,SLC6A15,SLC6A15,12q21.3,DKFZp761I0921|FLJ10316|MGC87066|NTT73|V7-3|hv7-3,"solute carrier family 6, member 15"
200790_at,ODC1,4953,12.55053,4953,200790_at,11,11,ODC1,ODC1,2p25,NA,ornithine decarboxylase 1
202696_at,OSR1,9943,3.633391,9943,202696_at,11,11,OXSR1,OXSR1,3p22-p21.3,KIAA1101|OSR1,oxidative-stress responsive 1
218736_s_at,PALMD,54873,0.313915,54873,218736_s_at,11,11,PALMD,PALMD,1p22-p21,C1orf11|FLJ20271|PALML,palmdelphin
1555167_s_at,PBEF,10135,2.988472,10135,1555167_s_at,11,11,PBEF1,PBEF1,7q22.2,1110035O14Rik|DKFZP666B131|MGC117256|NAMPT|PBEF,pre-B-cell colony enhancing factor 1
227458_at,PDCD1LG1,29126,6.069811,NA,NA,NA,NA,NA,NA,NA,NA,NA
223834_at,PDCD1LG1,29126,3.564042,29126,223834_at,11,11,CD274,CD274,9p24,B7-H|B7H1|MGC142294|MGC142296|PD-L1|PDCD1L1|PDCD1LG1|PDL1,CD274 molecule
217997_at,PHLDA1,22822,3.373669,22822,217997_at,11,11,PHLDA1,PHLDA1,12q15,DT1P1B11|MGC131738|PHRIP|TDAG51,"pleckstrin homology-like domain, family A, member 1"
218000_s_at,PHLDA1,22822,4.046168,22822,218000_s_at,11,11,PHLDA1,PHLDA1,12q15,DT1P1B11|MGC131738|PHRIP|TDAG51,"pleckstrin homology-like domain, family A, member 1"
217996_at,PHLDA1,22822,3.055657,22822,217996_at,11,11,PHLDA1,PHLDA1,12q15,DT1P1B11|MGC131738|PHRIP|TDAG51,"pleckstrin homology-like domain, family A, member 1"
209803_s_at,PHLDA2,7262,3.063477,7262,209803_s_at,11,11,PHLDA2,PHLDA2,11p15.5,BRW1C|BWR1C|HLDA2|IPL|TSSC3,"pleckstrin homology-like domain, family A, member 2"
203691_at,PI3,5266,9.705381,5266,203691_at,10,11,PI3,PI3,20q12-q13,ESI|MGC13613|SKALP|WAP3|WFDC14,"peptidase inhibitor 3, skin-derived (SKALP)"
217864_s_at,PIAS1,8554,0.412269,8554,217864_s_at,11,11,PIAS1,PIAS1,15q,DDXBP1|GBP|GU/RH-II|MGC141878|MGC141879|ZMIZ3,"protein inhibitor of activated STAT, 1"
203879_at,PIK3CD,5293,2.519976,5293,203879_at,11,11,PIK3CD,PIK3CD,1p36.2,p110D,"phosphoinositide-3-kinase, catalytic, delta polypeptide"
209193_at,PIM1,5292,4.134478,5292,209193_at,8,11,PIM1,PIM1,6p21.2,PIM,pim-1 oncogene
221577_x_at,PLAB,9518,3.792133,9518,221577_x_at,11,11,GDF15,GDF15,19p13.1-13.2,GDF-15|MIC-1|MIC1|NAG-1|PDF|PLAB|PTGFB,growth differentiation factor 15
210845_s_at,PLAUR,5329,9.364043,5329,210845_s_at,11,11,PLAUR,PLAUR,19q13,CD87|UPAR|URKR,"plasminogen activator, urokinase receptor"
211924_s_at,PLAUR,5329,11.93736,5329,211924_s_at,11,11,PLAUR,PLAUR,19q13,CD87|UPAR|URKR,"plasminogen activator, urokinase receptor"
214866_at,PLAUR,5329,2.798046,5329,214866_at,11,11,PLAUR,PLAUR,19q13,CD87|UPAR|URKR,"plasminogen activator, urokinase receptor"
213030_s_at,PLXNA2,5362,2.867933,5362,213030_s_at,11,11,PLXNA2,PLXNA2,1q32.2,FLJ11751|FLJ30634|KIAA0463|OCT|PLXN2,plexin A2
215667_x_at,PMS2L6,5384,0.498938,5383,215667_x_at,6,11,PMS2L5,PMS2L5,7q11-q22,MGC34222|PMS7,postmeiotic segregation increased 2-like 5
209598_at,PNMA2,10687,2.781405,10687,209598_at,11,11,PNMA2,PNMA2,8p21.2,KIAA0883|MA2|MM2|RGAG2,paraneoplastic antigen MA2
214146_s_at,PPBP,5473,57.86712,5473,214146_s_at,11,11,PPBP,PPBP,4q12-q13,B-TG1|Beta-TG|CTAP-III|CTAP3|CTAPIII|CXCL7|LA-PF4|LDGF|MDGF|NAP-2|PBP|SCYB7|TC1|TC2|TGB|TGB1|THBGB|THBGB1,pro-platelet basic protein (chemokine (C-X-C motif) ligand 7)
201490_s_at,PPIF,10105,2.592979,10105,201490_s_at,11,11,PPIF,PPIF,10q22-q23,CYP3|Cyp-D|FLJ90798|MGC117207,peptidylprolyl isomerase F (cyclophilin F)
201489_at,PPIF,10105,3.456173,10105,201489_at,11,11,PPIF,PPIF,10q22-q23,CYP3|Cyp-D|FLJ90798|MGC117207,peptidylprolyl isomerase F (cyclophilin F)
202014_at,PPP1R15A,23645,8.489226,23645,202014_at,11,11,PPP1R15A,PPP1R15A,19q13.2,GADD34,"protein phosphatase 1, regulatory (inhibitor) subunit 15A"
37028_at,PPP1R15A,23645,5.722384,23645,37028_at,14,16,PPP1R15A,PPP1R15A,19q13.2,GADD34,"protein phosphatase 1, regulatory (inhibitor) subunit 15A"
215707_s_at,PRNP,fam5621,3.007777,5621,215707_s_at,11,11,PRNP,PRNP,20p13,ASCR|CD230|CJD|GSS|MGC26679|PRIP|PrP|PrP27-30|PrP33-35C|PrPc,"prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)"
227510_x_at,PRO1073,29005,7.314267,NA,NA,NA,NA,NA,NA,NA,NA,NA
231735_s_at,PRO1073,29005,0.296591,NA,NA,NA,NA,NA,NA,NA,NA,NA
1554997_a_at,PTGS2,5743,25.94438,5743,1554997_a_at,11,11,PTGS2,PTGS2,1q25.2-q25.3,COX-2|COX2|PGG/HS|PGHS-2|PHS-2|hCox-2,prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
204748_at,PTGS2,5743,20.70477,5743,204748_at,11,11,PTGS2,PTGS2,1q25.2-q25.3,COX-2|COX2|PGG/HS|PGHS-2|PHS-2|hCox-2,prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
211756_at,PTHLH,5744,4.67036,5744,211756_at,11,11,PTHLH,PTHLH,12p12.1-p11.2,HHM|MGC14611|PLP|PTHR|PTHRP,parathyroid hormone-like hormone
210355_at,PTHLH,5744,4.417365,5744,210355_at,11,11,PTHLH,PTHLH,12p12.1-p11.2,HHM|MGC14611|PLP|PTHR|PTHRP,parathyroid hormone-like hormone
1556773_at,PTHLH,5744,3.302768,NA,NA,NA,NA,NA,NA,NA,NA,NA
221840_at,PTPRE,5791,3.760788,5791,221840_at,11,11,PTPRE,PTPRE,10q26,DKFZp313F1310|HPTPE|PTPE|R-PTP-EPSILON,"protein tyrosine phosphatase, receptor type, E"
206157_at,PTX3,5806,8.987465,5806,206157_at,11,11,PTX3,PTX3,3q25,TNFAIP5|TSG-14,"pentraxin-related gene, rapidly induced by IL-1 beta"
214443_at,PVR,5817,3.293733,5817,214443_at,11,11,PVR,PVR,19q13.2,CD155|HVED|NECL5|Necl-5|PVS|TAGE4,poliovirus receptor
225189_s_at,RAPH1,65059,3.987127,65059,225189_s_at,11,11,RAPH1,RAPH1,2q33,ALS2CR18|ALS2CR9|KIAA1681|LPD|PREL2|RMO1|RalGDS/AF-6,Ras association (RalGDS/AF-6) and pleckstrin homology domains 1
225188_at,RAPH1,65059,3.854975,65059,225188_at,11,11,RAPH1,RAPH1,2q33,ALS2CR18|ALS2CR9|KIAA1681|LPD|PREL2|RMO1|RalGDS/AF-6,Ras association (RalGDS/AF-6) and pleckstrin homology domains 1
1553722_s_at,RNF152,220441,0.146351,NA,NA,NA,NA,NA,NA,NA,NA,NA
204133_at,RNU3IP2,9136,2.676407,9136,204133_at,11,11,RRP9,RRP9,3p21.1,RNU3IP2|U3-55K,"RRP9, small subunit (SSU) processome component, homolog (yeast)"
211181_x_at,RUNX1,861,0.145298,861,211181_x_at,9,11,RUNX1,RUNX1,21q22.3,AML1|AML1-EVI-1|AMLCR1|CBFA2|EVI-1|PEBP2aB,runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)
211182_x_at,RUNX1,861,0.112773,861,211182_x_at,9,11,RUNX1,RUNX1,21q22.3,AML1|AML1-EVI-1|AMLCR1|CBFA2|EVI-1|PEBP2aB,runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)
228923_at,S100A6,6277,4.380415,NA,NA,NA,NA,NA,NA,NA,NA,NA
230333_at,SAT,6303,4.648689,NA,NA,NA,NA,NA,NA,NA,NA,NA
201286_at,SDC1,6382,8.691986,6382,201286_at,11,11,SDC1,SDC1,2p24.1,CD138|SDC|SYND1,syndecan 1
201287_s_at,SDC1,6382,5.065362,6382,201287_s_at,11,11,SDC1,SDC1,2p24.1,CD138|SDC|SYND1,syndecan 1
202071_at,SDC4,6385,3.416054,6385,202071_at,11,11,SDC4,SDC4,20q12,MGC22217|SYND4,"syndecan 4 (amphiglycan, ryudocan)"
234725_s_at,SEMA4B,(semaph10509,2.547556,10509,234725_s_at,11,11,SEMA4B,SEMA4B,15q25,KIAA1745|MGC131831|SEMAC|SemC,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4B"
46665_at,SEMA4C,(semaph54910,3.520427,54910,46665_at,16,16,SEMA4C,SEMA4C,2q11.2,FLJ20369|KIAA1739|M-SEMA-F|M-Sema F|MGC126382|MGC126383|SEMAI|Semacl1|Semaf,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C"
219039_at,SEMA4C,(semaph54910,4.31566,54910,219039_at,11,11,SEMA4C,SEMA4C,2q11.2,FLJ20369|KIAA1739|M-SEMA-F|M-Sema F|MGC126382|MGC126383|SEMAI|Semacl1|Semaf,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C"
212268_at,SERPINB1,1992,6.140742,1992,212268_at,11,11,SERPINB1,SERPINB1,6p25,EI|ELANH2|LEI|M/NEI|MNEI|PI2,"serpin peptidase inhibitor, clade B (ovalbumin), member 1"
213572_s_at,SERPINB1,1992,3.787748,1992,213572_s_at,2,11,SERPINB1,SERPINB1,6p25,EI|ELANH2|LEI|M/NEI|MNEI|PI2,"serpin peptidase inhibitor, clade B (ovalbumin), member 1"
228726_at,SERPINB1,1992,5.064818,NA,NA,NA,NA,NA,NA,NA,NA,NA
204614_at,SERPINB2,5055,11.54172,5055,204614_at,11,11,SERPINB2,SERPINB2,18q21.3,HsT1201|PAI|PAI-2|PAI2|PLANH2,"serpin peptidase inhibitor, clade B (ovalbumin), member 2"
209720_s_at,SERPINB3,6317,0.234535,NA,NA,NA,NA,NA,NA,NA,NA,NA
204855_at,SERPINB5,5268,2.86399,5268,204855_at,11,11,SERPINB5,SERPINB5,18q21.3,PI5|maspin,"serpin peptidase inhibitor, clade B (ovalbumin), member 5"
223196_s_at,SESN2,83667,1.796513,83667,223196_s_at,11,11,SESN2,SESN2,1p35.3,DKFZp761M0212|DKFZp761M02121|HI95|SES2|SEST2,sestrin 2
223195_s_at,SESN2,83667,3.046793,83667,223195_s_at,11,11,SESN2,SESN2,1p35.3,DKFZp761M0212|DKFZp761M02121|HI95|SES2|SEST2,sestrin 2
242899_at,SESN3,143686,0.162383,NA,NA,NA,NA,NA,NA,NA,NA,NA
209260_at,SFN,2810,2.214162,2810,209260_at,11,11,SFN,SFN,1p36.11,YWHAS,stratifin
203625_x_at,SKP2,6502,0.133798,6502,203625_x_at,7,11,SKP2,SKP2,5p13,FBL1|FBXL1|FLB1|MGC1366,S-phase kinase-associated protein 2 (p45)
202856_s_at,SLC16A3,9123,6.621497,9123,202856_s_at,11,11,SLC16A3,SLC16A3,17q25,MCT3|MCT4|MGC138472|MGC138474,"solute carrier family 16, member 3 (monocarboxylic acid transporter 4)"
201920_at,SLC20A1,6574,6.173755,6574,201920_at,11,11,SLC20A1,SLC20A1,2q11-q14,DKFZp686J2397|FLJ41426|GLVR1|Glvr-1|PIT1|PiT-1,"solute carrier family 20 (phosphate transporter), member 1"
216236_s_at,SLC2A14,144195,6.980694,NA,NA,NA,NA,NA,NA,NA,NA,NA
202499_s_at,SLC2A3,6515,8.708224,6515,202499_s_at,11,11,SLC2A3,SLC2A3,12p13.3,FLJ90380|GLUT3,"solute carrier family 2 (facilitated glucose transporter), member 3"
209453_at,SLC9A1,sensitiv6548,3.094392,6548,209453_at,9,11,SLC9A1,SLC9A1,1p36.1-p35,APNH|FLJ42224|NHE1,"solute carrier family 9 (sodium/hydrogen exchanger), member 1 (antiporter, Na+/H+, amiloride sensitive)"
209427_at,SMTN,6525,3.668082,6525,209427_at,8,11,SMTN,SMTN,22q12.2,FLJ35365|FLJ38597,smoothelin
207390_s_at,SMTN,6525,3.400402,6525,207390_s_at,11,11,SMTN,SMTN,22q12.2,FLJ35365|FLJ38597,smoothelin
230820_at,SMURF2,64750,3.044457,NA,NA,NA,NA,NA,NA,NA,NA,NA
210001_s_at,SOCS1,8651,4.710571,8651,210001_s_at,11,11,SOCS1,SOCS1,16p13.13,CIS1|CISH1|JAB|SOCS-1|SSI-1|SSI1|TIP3,suppressor of cytokine signaling 1
221489_s_at,SPRY4,81848,4.454092,81848,221489_s_at,11,11,SPRY4,SPRY4,5q31.3,NA,sprouty homolog 4 (Drosophila)
1554671_a_at,SRRM2,23524,0.188249,23524,1554671_a_at,11,11,SRRM2,SRRM2,16p13.3,300-KD|DKFZp686O15166|FLJ21926|FLJ22250|KIAA0324|MGC40295|SRL300|SRm300,serine/arginine repetitive matrix 2
202440_s_at,ST5,6764,0.545598,6764,202440_s_at,10,11,ST5,ST5,11p15,DENND2B|HTS1|MGC33090|p126,suppression of tumorigenicity 5
204729_s_at,STX1A,6804,3.665176,6804,204729_s_at,11,11,STX1A,STX1A,7q11.23,HPC-1|STX1|p35-1,syntaxin 1A (brain)
225544_at,TBX3,6926,4.325209,6926,225544_at,11,11,TBX3,TBX3,12q24.1,TBX3-ISO|UMS|XHL,T-box 3 (ulnar mammary syndrome)
216035_x_at,TCF7L2,6934,0.374792,NA,NA,NA,NA,NA,NA,NA,NA,NA
209278_s_at,TFPI2,7980,25.54704,7980,209278_s_at,11,11,TFPI2,TFPI2,7q22,FLJ21164|PP5|TFPI-2,tissue factor pathway inhibitor 2
205016_at,TGFA,7039,5.680738,7039,205016_at,11,11,TGFA,TGFA,2p13,TFGA,"transforming growth factor, alpha"
205015_s_at,TGFA,7039,13.85388,7039,205015_s_at,11,11,TGFA,TGFA,2p13,TFGA,"transforming growth factor, alpha"
220407_s_at,TGFB2,7042,0.19218,7042,220407_s_at,11,11,TGFB2,TGFB2,1q41,MGC116892|TGF-beta2,"transforming growth factor, beta 2"
201447_at,TIA1,7072,0.520888,NA,NA,NA,NA,NA,NA,NA,NA,NA
201666_at,TIMP1,7076,5.201243,7076,201666_at,10,11,TIMP1,TIMP1,Xp11.3-p11.23,CLGI|EPA|EPO|FLJ90373|HCI|TIMP,TIMP metallopeptidase inhibitor 1
1552648_a_at,TNFRSF10A,8797,5.040783,8797,1552648_a_at,11,11,TNFRSF10A,TNFRSF10A,8p21,APO2|CD261|DR4|MGC9365|TRAILR-1|TRAILR1,"tumor necrosis factor receptor superfamily, member 10a"
231775_at,TNFRSF10A,8797,4.511135,8797,231775_at,2,11,TNFRSF10A,TNFRSF10A,8p21,APO2|CD261|DR4|MGC9365|TRAILR-1|TRAILR1,"tumor necrosis factor receptor superfamily, member 10a"
210405_x_at,TNFRSF10B,8795,3.579402,8795,210405_x_at,11,11,TNFRSF10B,TNFRSF10B,8p22-p21,CD262|DR5|KILLER|KILLER/DR5|TRAIL-R2|TRAILR2|TRICK2|TRICK2A|TRICK2B|TRICKB|ZTNFR9,"tumor necrosis factor receptor superfamily, member 10b"
218368_s_at,TNFRSF12A,51330,2.943121,51330,218368_s_at,11,11,TNFRSF12A,TNFRSF12A,16p13.3,CD266|FN14|TWEAKR,"tumor necrosis factor receptor superfamily, member 12A"
234734_s_at,TNRC6,27327,0.692597,27327,234734_s_at,11,11,TNRC6A,TNRC6A,16p11.2,CAGH26|DKFZp666E117|FLJ22043|GW1|GW182|KIAA1460|MGC75384|TNRC6,trinucleotide repeat containing 6A
228834_at,TOB1,10140,2.351684,NA,NA,NA,NA,NA,NA,NA,NA,NA
208901_s_at,TOP1,7150,2.614982,7150,208901_s_at,11,11,TOP1,TOP1,20q12-q13.1,TOPI,topoisomerase (DNA) I
238688_at,TPM1,7168,0.176624,NA,NA,NA,NA,NA,NA,NA,NA,NA
213293_s_at,TRIM22,10346,0.41757,10346,213293_s_at,11,11,TRIM22,TRIM22,11p15,GPSTAF50|RNF94|STAF50,tripartite motif-containing 22
215111_s_at,TSC22,8848,2.441881,8848,215111_s_at,11,11,TSC22D1,TSC22D1,13q14,DKFZp686O19206|MGC17597|RP11-269C23.2|TGFB1I4|TSC22,"TSC22 domain family, member 1"
226120_at,TTC8,123016,0.272492,123016,226120_at,11,11,TTC8,TTC8,14q31.3,BBS8,tetratricopeptide repeat domain 8
212242_at,TUBA1,7277,2.95915,7277,212242_at,11,11,TUBA1,TUBA1,2q35,FLJ30169|H2-ALPHA,"tubulin, alpha 1"
209340_at,UAP1,6675,3.486944,6675,209340_at,11,11,UAP1,UAP1,1q23.3,AGX1|AgX|SPAG2,UDP-N-acteylglucosamine pyrophosphorylase 1
221291_at,ULBP2,80328,2.07973,NA,NA,NA,NA,NA,NA,NA,NA,NA
203234_at,UPP1,7378,8.271802,7378,203234_at,11,11,UPP1,UPP1,7p12.3,UDRPASE|UP|UPASE|UPP,uridine phosphorylase 1
226029_at,VANGL2,57216,0.290003,57216,226029_at,11,11,VANGL2,VANGL2,1q22-q23,KIAA1215|LPP1|LTAP|MGC119403|MGC119404|STBM,"vang-like 2 (van gogh, Drosophila)"
212171_x_at,VEGF,7422,5.262834,7422,212171_x_at,11,11,VEGFA,VEGFA,6p12,MGC70609|VEGF|VEGF-A|VPF,vascular endothelial growth factor A
210513_s_at,VEGF,7422,4.341983,7422,210513_s_at,11,11,VEGFA,VEGFA,6p12,MGC70609|VEGF|VEGF-A|VPF,vascular endothelial growth factor A
211527_x_at,VEGF,7422,4.721684,7422,211527_x_at,11,11,VEGFA,VEGFA,6p12,MGC70609|VEGF|VEGF-A|VPF,vascular endothelial growth factor A
210512_s_at,VEGF,7422,3.478785,7422,210512_s_at,11,11,VEGFA,VEGFA,6p12,MGC70609|VEGF|VEGF-A|VPF,vascular endothelial growth factor A
1553993_s_at,WDR5,11091,0.46692,81857,1553993_s_at,11,11,MED25,MED25,19q13.3,ACID1|ARC92|DKFZp434K0512|MGC70671|P78|TCBAP0758,"mediator of RNA polymerase II transcription, subunit 25 homolog (S. cerevisiae)"
219836_at,ZBED2,79413,4.253546,79413,219836_at,11,11,ZBED2,ZBED2,3q13.13,MGC10796,"zinc finger, BED-type containing 2"
201531_at,ZFP36,7538,4.234125,7538,201531_at,11,11,ZFP36,ZFP36,19q13.1,G0S24|GOS24|NUP475|RNF162A|TIS11|TTP,"zinc finger protein 36, C3H type, homolog (mouse)"
206579_at,ZNF192,7745,0.451024,7745,206579_at,11,11,ZNF192,ZNF192,6p21.3,LD5-1,zinc finger protein 192
234608_at,NA,NA,11.68276,NA,NA,NA,NA,NA,NA,NA,NA,NA
226863_at,NA,NA,5.355373,NA,NA,NA,NA,NA,NA,NA,NA,NA
228314_at,NA,NA,3.886164,NA,NA,NA,NA,NA,NA,NA,NA,NA
239331_at,NA,NA,9.402247,NA,NA,NA,NA,NA,NA,NA,NA,NA
242509_at,NA,NA,3.707181,NA,NA,NA,NA,NA,NA,NA,NA,NA
217608_at,NA,133993,3.864333,285672,217608_at,11,11,P18SRP,NA,5q12.3,FLJ36754|MGC131910|MGC150548|MGC150549,P18SRP protein
244025_at,NA,NA,5.719319,NA,NA,NA,NA,NA,NA,NA,NA,NA
240991_at,NA,NA,4.821946,NA,NA,NA,NA,NA,NA,NA,NA,NA
226034_at,NA,NA,4.578573,NA,NA,NA,NA,NA,NA,NA,NA,NA
230711_at,NA,NA,4.222497,NA,NA,NA,NA,NA,NA,NA,NA,NA
227755_at,NA,NA,3.664103,NA,NA,NA,NA,NA,NA,NA,NA,NA
1566968_at,NA,NA,19.57097,NA,NA,NA,NA,NA,NA,NA,NA,NA
227288_at,NA,133993,2.582904,285672,227288_at,11,11,P18SRP,NA,5q12.3,FLJ36754|MGC131910|MGC150548|MGC150549,P18SRP protein
208785_s_at,NA,NA,3.293829,81631,208785_s_at,11,11,MAP1LC3B,MAP1LC3B,16q24.2,MAP1A/1BLC3,microtubule-associated protein 1 light chain 3 beta
230973_at,NA,374961,3.413311,NA,NA,NA,NA,NA,NA,NA,NA,NA
225950_at,NA,NA,2.706131,NA,NA,NA,NA,NA,NA,NA,NA,NA
225316_at,NA,NA,4.164933,84879,225316_at,11,11,MFSD2,MFSD2,1p34.2,FLJ14490|FLJ35904|FP1147|HMFN0656|PP10484|RP3-342P20.1,major facilitator superfamily domain containing 2
230778_at,NA,NA,2.325024,NA,NA,NA,NA,NA,NA,NA,NA,NA
211506_s_at,NA,NA,2.563612,3576,211506_s_at,11,11,IL8,IL8,4q13-q21,3-10C|AMCF-I|CXCL8|GCP-1|GCP1|K60|LECT|LUCT|LYNAP|MDNCF|MONAP|NAF|NAP-1|NAP1|SCYB8|TSG-1|b-ENAP,interleukin 8
227057_at,NA,374805,18.11597,201176,227057_at,9,11,ARHGAP27,ARHGAP27,17q21.31,CAMGAP1|FLJ43547|MGC120624,Rho GTPase activating protein 27
1558517_s_at,NA,NA,3.807877,NA,NA,NA,NA,NA,NA,NA,NA,NA
224606_at,NA,NA,2.686731,NA,NA,NA,NA,NA,NA,NA,NA,NA
201861_s_at,NA,NA,2.584778,9208,201861_s_at,11,11,LRRFIP1,LRRFIP1,2q37.3,FLAP-1|FLIIAP1|GCF-2|GCF2|HUFI-1|MGC10947|MGC119738|MGC119739|TRIP,leucine rich repeat (in FLII) interacting protein 1
216483_s_at,NA,NA,2.425223,56005,216483_s_at,11,11,C19orf10,C19orf10,19p13.3,EUROIMAGE1875335|IL25|IL27|IL27w|R33729_1|SF20,chromosome 19 open reading frame 10
211620_x_at,NA,NA,0.224813,861,211620_x_at,9,11,RUNX1,RUNX1,21q22.3,AML1|AML1-EVI-1|AMLCR1|CBFA2|EVI-1|PEBP2aB,runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)
229949_at,NA,NA,0.462974,NA,NA,NA,NA,NA,NA,NA,NA,NA
